name,IP,EA,Et,gap
7154715/,6.838407424,-1.625832128,2.040951727,1.86163877
7200794/,5.7403397,-0.245335106,1.713577447,1.83364599
2211941/,8.680966997,-1.633049464,2.595921322,2.51575008
4020178/,6.424372092,-0.936439947,1.921772027,1.79491915
1519553/,7.944404082,-0.895513322,2.377868555,2.37253511
2230441/,7.54569056,-1.500989046,2.258617494,2.08605068
1512102/,6.72427706,-1.18541032,2.013342716,1.83665739
7100977/,8.443529134,-1.97416678,2.535157215,2.34640645
7226053/,6.79497154,-1.28522649,2.040280902,1.63122139
4020179/,6.148930954,-0.640708684,1.846680869,1.937248
4031750/,6.519712346,-0.499907307,1.960845405,1.80776708
2226602/,7.128355508,-1.252966571,2.144557855,1.75723228
2200211/,6.428726801,-0.419999392,1.935366233,1.69648448
4021554/,6.533577296,-0.86092919,1.967233828,2.18201134
7200442/,8.163190066,-1.010782461,2.45951543,2.52076797
7108617/,6.208329475,-1.256360393,1.871011029,1.81038444
7154908/,6.822500322,-0.722588602,2.056568273,2.22927249
2220438/,7.440077283,-1.200771203,2.24389618,2.17326292
2007798/,7.230376256,-0.810009401,2.181845725,2.00901552
2223357/,7.321182787,-1.061162567,2.212387738,2.05066511
4020859/,5.853127375,-0.729280598,1.770713387,1.96553167
7154763/,7.668672672,-1.773796508,2.320469387,2.18582271
7150078/,9.068330159,-1.913404295,2.748369915,6.24918639
7108764/,6.811144485,-0.779218981,2.064675582,2.19495194
7050190/,8.502729032,-1.336909592,2.578082743,2.36441095
